EpisodeNumber,Date,LastName,FirstName,City,State,GameWinner,TotalAtt,TotalBuz,TotalBuzPercentage,TotalCorrect,TotalIncorrect,CorrectPercentage,TotalDdCorrect,TotalDdIncorrect,TotalDdWinnings,FinalScore,TotalTripleStumpers
9106,"March 6, 2024",MEYER,TROY,TAMPA,FLORIDA,true,50,28,56.00,28,2,93.00,2,0,15800,0,0
9106,"March 6, 2024",BILODEAU,DEB,SAN FRANCISCO,CALIFORNIA,false,44,12,27.00,12,1,92.00,0,1,-1000,0,0
9106,"March 6, 2024",McSHANE,SEAN,SOUTH BOSTON,MASSACHUSETTS,false,36,15,42.00,13,2,87.00,0,0,0,0,0
9101,"March 5, 2024",CHAN,BEN,GREEN BAY,WISCONSIN,true,41,27,66.00,28,1,97.00,2,0,7600,0,0
9101,"March 5, 2024",BOLSEN,JUSTIN,CANTON,GEORGIA,false,35,14,40.00,12,2,86.00,0,0,0,0,0
9101,"March 5, 2024",STANTON,EMMETT,BALTIMORE,MARYLAND,false,26,12,46.00,9,4,69.00,0,1,-4400,0,0
9096,"March 4, 2024",LALONDE,RAY,TORONTO,ONTARIO,false,36,17,47.00,17,0,100.00,0,0,0,0,0
9096,"March 4, 2024",KLAPPER,MELISSA,MERION STATION,PENNSYLVANIA,false,33,13,39.00,14,1,93.00,2,0,9600,0,0
9096,"March 4, 2024",BARINHOLTZ,IKE,CHICAGO,ILLINOIS,true,32,19,59.00,17,3,85.00,1,0,7600,0,0
9091,"March 1, 2024",WEBB,STEPHEN,LONGMONT,COLORADO,false,44,13,30.00,8,7,53.00,1,1,1000,-800,0
9091,"March 1, 2024",HENEGAR,BRIAN,LaFOLLETTE,TENNESSEE,true,41,27,66.00,23,5,82.00,0,1,-3200,0,0
9091,"March 1, 2024",SAAK,JOSH,BOISE,IDAHO,false,35,17,49.00,16,1,94.00,0,0,0,0,0
9086,"February 29, 2024",de GUZMAN,LUIGI,ARLINGTON,VIRGINIA,true,48,21,44.00,17,6,74.00,2,0,13200,0,0
9086,"February 29, 2024",BELLE,KEVIN,SILVER SPRING,MARYLAND,false,41,11,27.00,10,1,91.00,0,0,0,0,0
9086,"February 29, 2024",ZAHEER,JUVERIA,WHITBY,ONTARIO,false,48,27,56.00,26,2,93.00,1,0,4000,0,0
9081,"February 28, 2024",CASCONE,NICK,Originally QUEENS,NEW YORK,false,29,11,38.00,10,3,77.00,1,1,-4200,1,0
9081,"February 28, 2024",DeARRUDA,JAKE,Originally LUDLOW,VERMONT,false,34,23,68.00,20,4,83.00,1,0,6600,0,0
9081,"February 28, 2024",RAUT,YOGESH,VANCOUVER,WASHINGTON,true,52,26,50.00,26,0,100.00,0,0,0,0,0
9076,"February 27, 2024",WILSON,HANNAH,CHICAGO,ILLINOIS,false,44,23,52.00,22,3,88.00,1,1,-3000,0,0
9076,"February 27, 2024",SIBLEY,DAVID,WALLA WALLA,WASHINGTON,true,41,22,54.00,20,3,87.00,1,0,2800,0,0
9076,"February 27, 2024",WANG,YUNGSHENG,Originally LAFAYETTE,LOUISIANA,false,35,11,31.00,9,2,82.00,0,0,0,0,0
9071,"February 26, 2024",PANNULLO,CRIS,OCEAN CITY,NEW JERSEY,false,49,27,55.00,22,5,81.00,0,0,0,0,0
9071,"February 26, 2024",GOLDSTEIN,BEN,DEXTER,MICHIGAN,false,24,10,42.00,9,1,90.00,0,0,0,100,0
9071,"February 26, 2024",WATSON,JARED,GREENVILLE,TEXAS,true,47,18,38.00,21,0,100.00,3,0,15200,0,0
9066,"February 23, 2024",SANDS,EMILY,CHANHASSEN,MINNESOTA,true,41,27,66.00,24,4,86.00,1,0,7000,0,0
9066,"February 23, 2024",KRISHNAN,SURESH,SUWANEE,GEORGIA,false,35,13,37.00,10,5,67.00,0,2,-5400,0,0
9066,"February 23, 2024",MARCUS,MATTHEW,PORTLAND,OREGON,false,30,14,47.00,11,3,79.00,0,0,0,0,0
9061,"February 22, 2024",BILODEAU,DEB,SAN FRANCISCO,CALIFORNIA,true,38,17,45.00,15,3,83.00,1,0,2500,0,0
9061,"February 22, 2024",MATHENY,JESSE,Originally HUNTINGTON,INDIANA,false,38,16,42.00,17,0,100.00,1,0,7400,0,0
9061,"February 22, 2024",HAYWARD,MIRA,PORTLAND,OREGON,false,40,18,45.00,16,3,84.00,0,1,-5000,0,0
9056,"February 21, 2024",BILODEAU,DEB,SAN FRANCISCO,CALIFORNIA,false,40,20,50.00,19,1,95.00,0,0,0,0,0
9056,"February 21, 2024",MATHENY,JESSE,Originally HUNTINGTON,INDIANA,false,32,17,53.00,19,1,95.00,2,1,-6000,0,0
9056,"February 21, 2024",HAYWARD,MIRA,PORTLAND,OREGON,false,33,14,42.00,13,1,93.00,0,0,0,0,0
9051,"February 20, 2024",JEPSON,KAT,ROANOKE,VIRGINIA,false,35,10,29.00,10,0,100.00,0,0,0,0,0
9051,"February 20, 2024",GORDON,ALEX,Originally SOMERS,NEW YORK,false,43,26,60.00,20,6,77.00,0,0,0,0,0
9051,"February 20, 2024",MATHENY,JESSE,Originally HUNTINGTON,INDIANA,true,35,19,54.00,20,2,91.00,2,1,7200,0,0
9046,"February 19, 2024",D’ALESSIO,DIANDRA,MONTREAL,QUEBEC,false,33,16,48.00,16,1,94.00,1,0,2000,0,0
9046,"February 19, 2024",BILODEAU,DEB,SAN FRANCISCO,CALIFORNIA,true,35,21,60.00,21,2,91.00,2,0,4800,0,0
9046,"February 19, 2024",CLAGETT,TAYLOR,Originally CHESAPEAKE BEACH,MARYLAND,false,27,15,56.00,12,3,80.00,0,0,0,0,0
9041,"February 16, 2024",KRISHNAN,SRIRAM,FALLS CHURCH,VIRGINIA,false,31,14,45.00,13,1,93.00,0,0,0,0,0
9041,"February 16, 2024",BACANI,VINCE,MONTREAL,QUEBEC,false,35,18,51.00,16,4,80.00,1,1,-3400,0,0
9041,"February 16, 2024",HAYWARD,MIRA,PORTLAND,OREGON,true,39,22,56.00,22,1,96.00,1,0,4000,0,0
9036,"February 15, 2024",D’ALESSIO,DIANDRA,MONTREAL,QUEBEC,true,41,22,54.00,23,2,92.00,3,0,9000,0,0
9036,"February 15, 2024",TYLER,JAMES,BLANDON,PENNSYLVANIA,false,47,19,40.00,18,1,95.00,0,0,0,0,0
9036,"February 15, 2024",BEDERMAN,DAVID,LOS ANGELES,CALIFORNIA,false,35,18,51.00,13,5,72.00,0,0,0,0,0
9031,"February 14, 2024",BACANI,VINCE,MONTREAL,QUEBEC,true,38,19,50.00,18,3,86.00,2,0,6000,0,0
9031,"February 14, 2024",REDZOVIC,ILHANA,CHICAGO,ILLINOIS,false,41,27,66.00,21,6,78.00,0,0,0,0,0
9031,"February 14, 2024",KIM,ELLIOTT,LOS ANGELES,CALIFORNIA,false,32,16,50.00,12,5,71.00,0,1,-2000,0,0
9026,"February 13, 2024",NGUYEN,LONG,LAS VEGAS,NEVADA,false,44,27,61.00,26,3,90.00,2,0,12000,0,0
9026,"February 13, 2024",JEPSON,KAT,ROANOKE,VIRGINIA,true,37,21,57.00,22,0,100.00,1,0,7000,0,0
9026,"February 13, 2024",RUDOLPH,NICOLE,WILLISTON PARK,NEW YORK,false,29,6,21.00,4,2,67.00,0,0,0,0,0
9021,"February 12, 2024",KRISHNAN,SRIRAM,FALLS CHURCH,VIRGINIA,true,32,16,50.00,15,1,94.00,0,0,0,0,0
9021,"February 12, 2024",MATTURRI,DONNA,COLUMBUS,OHIO,false,36,22,61.00,23,1,96.00,1,1,2500,0,0
9021,"February 12, 2024",WOHL,DAN,BROOKLYN,NEW YORK,false,40,15,38.00,12,4,75.00,1,0,4200,0,0
9016,"February 9, 2024",HILL,EMMA,WINNIPEG,MANITOBA,false,34,11,32.00,9,2,82.00,0,0,0,0,0
9016,"February 9, 2024",MATHENY,JESSE,Originally HUNTINGTON,INDIANA,true,32,17,53.00,18,0,100.00,1,0,4000,0,0
9016,"February 9, 2024",CURRAN,PATRICK,WASHINGTON,DC,false,37,22,59.00,23,1,96.00,2,0,10000,0,0
9011,"February 8, 2024",GORDON,ALEX,Originally SOMERS,NEW YORK,true,39,22,56.00,21,3,88.00,2,0,11200,0,0
9011,"February 8, 2024",PETERSEN,ED,ORLANDO,FLORIDA,false,40,21,53.00,13,8,62.00,0,0,0,593,0
9011,"February 8, 2024",GOLDLUST,SUZANNE,RESTON,VIRGINIA,false,39,16,41.00,16,1,94.00,1,0,2500,0,0
9006,"February 7, 2024",WHITE,JUSTIN,OVERLAND PARK,KANSAS,false,21,8,38.00,8,1,89.00,0,1,-2200,600,0
9006,"February 7, 2024",SRIKEN,LISA,NEW YORK,NEW YORK,false,34,21,62.00,20,2,91.00,0,1,-4000,0,0
9006,"February 7, 2024",CLAGETT,TAYLOR,Originally CHESAPEAKE BEACH,MARYLAND,true,34,23,68.00,22,2,92.00,1,0,1200,0,0
9001,"February 6, 2024",BILODEAU,DEB,SAN FRANCISCO,CALIFORNIA,true,38,20,53.00,18,3,86.00,0,1,-2300,0,0
9001,"February 6, 2024",ZHAO,CRYSTAL,BLOOMINGTON,MINNESOTA,false,18,8,44.00,7,1,88.00,0,0,0,0,0
9001,"February 6, 2024",HARVEY,MATT,PROVIDENCE,RHODE ISLAND,false,39,25,64.00,23,4,85.00,1,1,0,0,0
8996,"February 5, 2024",CAMPOLIETA,KATE,SIMSBURY,CONNECTICUT,false,27,12,44.00,11,1,92.00,0,0,0,0,0
8996,"February 5, 2024",HAYWARD,MIRA,PORTLAND,OREGON,true,42,25,60.00,23,4,85.00,1,1,-1200,0,0
8996,"February 5, 2024",CHIN,JESSE,BAYSIDE,NEW YORK,false,33,15,45.00,12,4,75.00,0,1,-2000,0,0
8991,"February 2, 2024",ZAHEER,JUVERIA,WHITBY,ONTARIO,true,44,21,48.00,20,2,91.00,0,1,-1000,0,0
8991,"February 2, 2024",TIRRELL,ANDY,SAN DIEGO,CALIFORNIA,false,40,18,45.00,14,5,74.00,1,0,2000,0,0
8991,"February 2, 2024",MENKHUS,MICHAEL,KANSAS CITY,MISSOURI,false,47,21,45.00,18,4,82.00,1,0,3600,0,0
